Date,Open,High,Low,Close,VolumeFrom,VolumeTo,price_change,abs_price_change
2023-05-25,26326.17,26605.5,25882.27,26480.21,22984.71,604389199.53,0.005851211930941735,0.005851211930941735
2023-05-26,26480.21,26940.67,26338.96,26719.7,20356.54,542617989.88,0.009044112565572693,0.009044112565572693
2023-05-27,26719.7,26902.14,26585.34,26872.59,7427.77,198605797.63,0.005721995381684719,0.005721995381684719
2023-05-28,26872.59,28249.51,26789.58,28077.57,19785.88,543751511.42,0.04484048616080538,0.04484048616080538
2023-05-29,28077.57,28450.88,27546.65,27746.07,21644.99,604161699.4,-0.011806577278589248,0.011806577278589248
2023-05-30,27746.07,28052.68,27568.98,27703.56,23615.79,656814149.04,-0.0015321088716346853,0.0015321088716346853
2023-05-31,27703.56,27836.82,26853.57,27220.17,28352.48,770131646.3,-0.01744866002780876,0.01744866002780876
2023-06-01,27220.17,27347.94,26628.22,26825.73,23979.7,645324727.67,-0.014490725076294453,0.014490725076294453
2023-06-02,26825.73,27305.0,26519.23,27251.14,23786.38,643162971.0,0.015858282328197637,0.015858282328197637
2023-06-03,27251.14,27330.86,26946.35,27078.3,8092.89,219785033.16,-0.006342486956508964,0.006342486956508964
2023-06-04,27078.3,27451.16,26964.17,27125.24,9147.43,248793311.51,0.0017334913934774487,0.0017334913934774487
2023-06-05,27125.24,27135.1,25411.77,25740.46,37219.66,973121005.98,-0.05105134553648194,0.05105134553648194
2023-06-06,25740.46,27379.88,25380.61,27269.02,38336.34,1007782393.96,0.05938355414005825,0.05938355414005825
2023-06-07,27269.02,27423.02,26132.38,26348.91,30599.1,816508052.84,-0.03374195332285501,0.03374195332285501
2023-06-08,26348.91,26816.33,26225.25,26509.09,15156.05,401604313.0,0.006079188854491546,0.006079188854491546
2023-06-09,26509.09,26777.91,26290.32,26483.81,16583.88,439912147.38,-0.0009536351493015793,0.0009536351493015793
2023-06-10,26483.81,26533.58,25424.05,25856.18,31361.96,809187356.13,-0.023698629464567245,0.023698629464567245
2023-06-11,25856.18,26214.2,25655.94,25937.58,13172.72,341057974.45,0.003148183529044113,0.003148183529044113
